formula,problem,target_noise,predicted_tree,mse_fit,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,time,input_dimension
2*U*(1-cos(k*d)),feynman_III_15_12,0.01,(-691.0042786938734 add ((148.63071376564363 mul ((-2.156228730642972 add (-0.0031000225615216525 mul x_0)))**2) sub (1.5002212816782923 mul (((0.6661716597309597 mul x_0) sub (-0.6661391553933081 mul x_0)) mul cos((6.283871218693186 add (-1.0000142062667414 mul (x_1 mul x_2)))))))),0.000100559,0.999749857,0,0,0,0,29,0.999997829,0,0,0,0,29,561.8605855,3
(h/(2*pi))**2/(2*E_n*d**2),feynman_III_15_14,0.01,(0.0005355679647898912 add (exp(((2.0626567503801865 mul ((1.5341740407149769 add (-0.3047408432632081 mul x_2)))**2) add (1.6007513447627846 mul sin((0.2893565828701846 add (-0.3942991769897283 mul x_1)))))) mul ((-0.0018454560503294512 add (0.024752764691618457 mul x_0)))**2)),0.003012224,0.99587564,1,0,0,0,27,0.995843218,1,0,0,0,27,66.36302519,3
2*pi*alpha/(n*d),feynman_III_15_27,0.01,(-0.008369454334841563 add (inv((0.008117976466697905 add (1.7494803363185 mul x_2))) mul (inv((0.0013270211676425661 add (1.0704642519892835 mul x_1))) mul abs((-0.084714017218397 add (-11.801457841124051 mul x_0)))))),0.000101541,0.999764585,0,0,0,1,22,0.999998011,1,0,1,1,22,99.28626394,3
beta*(1+alpha*cos(theta)),feynman_III_17_37,0.01,(0.20688056917323377 add ((((0.20311504985857984 mul x_0) sub (1.6049582886659963 mul cos((-1.6024990026762627 add (0.008539713954919839 mul x_2))))) mul ((-0.5624880416514455 mul x_1) add (-0.04701651480491863 mul cos((8.047158819276058 add (-0.26181420057475485 mul x_0)))))) mul ((-7.0030190622616075 mul cos((0.5015652822714133 add (-1.1590106315342446 mul x_2)))) sub (1.4552623760527004 mul ((-2.2267909043017062 add (0.4571845451847247 mul x_1)))**2)))),0.002787067,0.997097904,0,0,0,0,45,0.997188112,0,0,0,0,45,1365.226083,3
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),feynman_III_19_51,0.01,(0.0031960436185474684 add (inv((-1.5549946600410225 add (0.8086793188010065 mul (((0.3785056949489975 add (7.744795864533883 mul x_3)))**2 mul (((0.07309353801467267 add (4.973971179948574 mul x_4)))**2 mul ((0.0021070382100987998 add (-0.07731847143009973 mul x_2)))**2))))) mul ((19.898625095992134 mul x_0) add ((38.48161242266017 mul x_1) add (-15.250879280871915 mul exp(((0.2688097357119985 mul x_0) add (0.8116490642232933 mul x_1)))))))),0.007281457,0.992363872,0,0,0,0,46,0.992862996,0,0,0,0,46,2285.234081,5
#NAME?,feynman_III_21_20,0.01,(0.27329458703277715 add ((((18.995491136405615 add (6.46984470934786 mul x_2)))**2 mul ((20.23201640906908 add (6.657052549130637 mul x_0)))**2) mul (inv((-4.097062719022077 add (-192.15042375601743 mul x_3))) mul arctan((2.8837989411120415e-05 add (0.0006902413100060359 mul x_1)))))),0.002078862,0.995543421,0,0,0,0,29,0.995769301,0,0,0,0,29,48.17600536,4
1/(exp((h/(2*pi))*omega/(kb*T))-1),feynman_III_4_32,0.01,(-0.6044627351914649 add (inv((-0.1668823865656448 add (13.982030216644002 mul x_0))) mul (((-2.1651666108408008 add (-0.7456010007456068 mul x_2)))**2 mul (((12.094134792801308 add (4.082235929404218 mul x_3)))**2 mul inv((0.03204350411080898 add (15.475644191292394 mul x_1))))))),0.002253362,0.995751391,0,0,0,0,29,0.996063987,0,0,0,0,29,258.1366501,4
(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),feynman_III_4_33,0.01,(0.7190957166442238 add ((-0.01580113794168957 mul x_3) sub ((0.22031961940238162 mul x_0) add ((0.018811123966984793 mul x_2) add ((0.21354990656940048 mul x_1) add (-1.0009540827167753 mul (x_3 mul x_2))))))),0.000193357,0.999287236,0,0,0,1,23,0.999649751,1,0,0,1,23,55.17803979,4
2*mom*B/(h/(2*pi)),feynman_III_7_38,0.01,(0.08578235868307664 add ((inv((-0.009710049490654538 add (2.994845980534759 mul x_2))) mul abs((0.007291383768385378 add (-2.9053531885074424 mul x_1)))) mul abs((-0.08544686685749017 add (12.94984486907245 mul x_0))))),0.000100083,0.999739932,0,0,0,1,22,0.999999015,1,0,1,1,22,52.795614,3
sin(E_n*t/(h/(2*pi)))**2,feynman_III_8_54,0.01,(0.4767970177940986 add (cos((1.7470691092244268 add (-0.20368606897054703 mul x_2))) mul sin(((1785.4036522194765 mul cos((-4.702871314246413 add (-0.0034645471171697467 mul x_0)))) add (3124.5943681704607 mul (x_1 mul inv((-6.326330331198356 add (171.30412807152484 mul x_2))))))))),0.171469345,0.506231339,0,0,0,0,29,0.509818467,0,0,0,0,29,1104.037868,3
(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,feynman_III_9_52,0.01,(2.483112935417744 add (abs((0.24659139157155882 add (-0.5797531038968101 mul (x_1 mul x_2)))) mul (exp(((-0.1962737710224857 mul x_2) add (-0.6393330446809742 mul x_3))) mul (((-4.078909315547867 mul cos(((-1.0021449250217813 mul x_5) add (0.9996504084844338 mul x_4)))) sub (1.9131682166114081 mul x_0)))**2))),0.028279724,0.940822365,0,0,0,0,35,0.939659131,0,0,0,0,35,2179.374499,6
sigma_den/epsilon*1/(1+chi),feynman_II_10_9,0.01,(0.013183329803277704 add (inv((1.2021970564964726 add (1.3083338660585246 mul x_2))) mul inv(((0.14022197046681092 mul x_1) add (0.9671338384397222 mul exp(((0.48106371824656813 mul x_1) add (-0.7996575039104287 mul x_0)))))))),0.001588955,0.995618261,0,0,0,0,24,0.995861631,0,0,0,0,24,49.23691344,3
n_rho*p_d**2*Ef/(3*kb*T),feynman_II_11_20,0.01,(-0.18222473234277706 add ((inv((0.5679735097406481 add (-14.743037375623897 mul x_3))) mul (((0.36628444778125274 add (3.9691984113402343 mul x_1)))**2 mul inv((-0.5453271814070038 add (-7.38841417322179 mul x_4))))) mul ((-2.3649076762241985 add (0.2777704938259467 mul (x_0 mul ((-0.7917862105711481 mul x_2) add (-0.02856054139770738 mul x_3))))))**2)),0.004546127,0.99308307,0,0,0,0,37,0.993177442,0,0,0,0,37,203.8946733,5
n*alpha/(1-(n*alpha/3))*epsilon*Ef,feynman_II_11_27,0.01,(-0.012307362409761288 add (((0.1840377019592066 add (0.5304037956713014 mul x_0)))**2 mul (abs((-0.035044385627734854 add (0.7208936794242052 mul (x_3 mul ((1.4767040567520937 add (1.0124618911655898 mul x_2)))**2)))) mul abs((0.031271989179399544 add (-0.6772884735610235 mul x_1)))))),0.003708163,0.992962004,0,0,0,0,29,0.993066984,0,0,0,0,29,55.34208751,4
1+n*alpha/(1-(n*alpha/3)),feynman_II_11_28,0.01,(-1.8555423921227674 add (((0.021620922914336767 mul x_1) sub (-8.16722945502976 mul exp(((0.15030312536831272 mul x_0) add (-0.1496968746319507 mul x_0))))) mul inv((2.8604059336203767 add (5.371110574439095 mul (x_1 mul cos((-1.5695863947167874 add (-0.1850073801129038 mul x_0))))))))),0.000101204,0.997887484,1,0,0,1,30,0.999992723,1,0,1,1,30,77.46586251,2
q*Ef/(m*(omega_0**2-omega**2)),feynman_II_11_3,0.01,(-0.009320550622509461 add (inv(((8.576960542633328 mul ((0.5712284085145802 add (0.7751370197919117 mul x_3)))**2) add (-18.709891848010898 mul x_4))) mul (inv((0.619968131122854 add (12.354259026739804 mul x_2))) mul (((-4.564607104138034 mul x_1) add ((-4.5376508213736315 mul x_0) sub (6.716066658158386 mul exp((-8.856622299769189 add (0.5252907515021092 mul x_1)))))))**2))),0.002331861,0.992811938,0,0,0,0,40,0.993192731,0,0,0,0,40,1744.876985,5
1/(4*pi*epsilon*c**2)*2*I/r,feynman_II_13_17,0.01,(-0.00015774647551005896 add (inv((0.007877313438915862 add (0.15030232147515535 mul x_3))) mul (inv((2.243461344282458 add (2.0625065322033747 mul x_0))) mul (inv((-12.322479156271484 add (22.037491469630204 mul x_1))) mul exp(((0.3313934243250501 mul x_2) sub (0.09357966292138557 mul (x_0 mul x_1)))))))),0.011132112,0.98460779,0,0,0,0,33,0.983951582,0,0,0,0,33,778.302392,4
rho_c_0/sqrt(1-v**2/c**2),feynman_II_13_23,0.01,(-0.07054142964967819 add ((14.59733221497985 mul (inv((-483.5313922752426 add (291.16591874901906 mul x_2))) mul ((0.005881535783464919 mul ((-40.935627341802586 add (47.53101834094948 mul x_1)))**2) sub (-11.31708434956666 mul exp((-1.4167032658019072 add (0.36696000503667603 mul x_0))))))) add ((0.003959843647839082 mul cos((10.454189352495415 add (5.287844087169479 mul x_2)))) sub (-0.9996776822810337 mul x_0)))),0.000232165,0.99822913,1,0,0,1,41,0.998924671,1,0,0,1,41,82.56692314,3
rho_c_0*v/sqrt(1-v**2/c**2),feynman_II_13_34,0.01,(-0.4064868400735653 add (inv((-83.0331168964851 add (25.04691101940061 mul x_1))) mul ((-67.7456690986426 mul x_0) sub ((11.001138266071736 mul x_1) add (0.13103033347298199 mul (((-19.07032205505415 add (2.33435246330148 mul x_2)))**2 mul ((2.040911091941476 mul x_1) sub (-3.5318470686266057 mul cos((-8.828654807884217 add (0.14727016188604383 mul x_0))))))))))),0.001065338,0.993620311,0,0,0,1,38,0.994269461,0,0,0,1,38,83.4242866,3
#NAME?,feynman_II_15_4,0.01,(-0.023302633191931342 add (((17.793756857415655 add (6.017292156266609 mul x_0)))**2 mul (cos((1.570794037355209 add (0.002262023501587487 mul x_1))) mul cos((-0.004350718084245308 add (-0.9986635247837939 mul x_2)))))),0.001103425,0.998239604,0,0,0,0,22,0.998398124,0,0,0,0,22,49.33108521,3
#NAME?,feynman_II_15_5,0.01,(-0.09310865291225781 add (((0.869803962779075 add (0.30012914305103433 mul x_0)))**2 mul (cos((-3.162307731502712 add (-0.9936997805032796 mul x_2))) mul ((0.8088908371760212 add (0.27672274415429277 mul x_1)))**2))),0.002068343,0.9966969,0,0,0,0,22,0.99675806,0,0,0,0,22,35.9769094,3
q/(4*pi*epsilon*r*(1-v/c)),feynman_II_21_32,0.01,(0.0013029524509407344 add (inv(((-0.00817886908250565 mul ((9.042470349829614 add (2.638723585915531 mul x_1)))**2) add (0.2826699548072294 mul x_3))) mul (inv((0.5346020722675827 add (-27.227271264303912 mul x_2))) mul ((1.5908467174788243 mul x_0) sub (-5.269426539558036 mul exp(((-0.5490885758806134 mul x_4) add (0.3722560549923017 mul x_0)))))))),0.004482373,0.990041258,0,0,0,0,37,0.990767036,0,0,0,0,37,1512.854656,5
sqrt(omega**2/c**2-pi**2/d**2),feynman_II_24_17,0.01,(-1.1848952419774124 add ((0.4089931022822325 mul x_0) sub ((-0.14364978140947826 mul x_2) sub ((0.005216931674422276 mul sin((-14.452774396971453 add (10.244240789667423 mul x_0)))) add (30.9440019779475 mul exp(((-1.3178747150105716 mul x_1) add (368.2377136240562 mul inv((-4.025786420164063 add (-87.07914144685236 mul x_0))))))))))),0.000209719,0.996759199,1,0,0,1,34,0.998284444,1,0,0,1,34,54.7129705,3
epsilon*c*Ef**2,feynman_II_27_16,0.01,(0.0613471665454215 add (((0.0020921968092881458 add (-0.35050520692706455 mul x_2)))**2 mul (abs((0.0033292068790716817 add (1.0322531168875475 mul x_0))) mul abs((-0.01589096962594734 add (7.900432085470245 mul x_1)))))),9.95E-05,0.999793795,0,0,0,0,22,0.999998564,1,0,1,1,22,39.86020923,3
epsilon*Ef**2,feynman_II_27_18,0.01,(0.05041022415485165 add (((0.005535750563848558 add (-0.6437502421931268 mul x_1)))**2 mul abs((-0.010825641550492177 add (2.424244513509266 mul x_0))))),0.000101206,0.99974994,0,0,0,0,15,0.999999285,1,0,1,1,15,37.70190644,2
kappa*(T2-T1)*A/d,feynman_II_2_42,0.01,(0.011342043799160767 add ((inv((-0.45768056704256627 add (12.453738603128942 mul x_4))) mul ((0.07481275847865755 mul x_2) add (-0.07485206604286457 mul x_1))) mul (((8.861641199538376 add (3.0822398173096617 mul x_0)))**2 mul ((-0.9854992102286642 add (-0.3519111988093704 mul x_3)))**2))),0.002243202,0.997756781,0,0,0,0,30,0.997789598,0,0,0,0,30,59.72177172,5
g_*q*B/(2*m),feynman_II_34_11,0.01,(-0.04882757287049018 add (inv((0.08387869750555624 add (15.862649633506384 mul x_3))) mul (((-0.7483038287077614 add (-0.24796650812542653 mul x_1)))**2 mul (abs((-0.36465630179212477 add (-18.492587897580464 mul x_0))) mul abs((-0.012954743397854273 add (-0.5572806797411806 mul x_2))))))),0.001125512,0.997590291,0,0,0,0,29,0.997800551,0,0,0,0,29,132.4004228,4
q*v*r/2,feynman_II_34_2,0.01,(-0.3279058507663253 add (((-0.10466450478565331 add (-0.03473915006876189 mul x_0)))**2 mul (abs((5.274463468167726 add (115.58329498746637 mul x_2))) mul abs((0.014891669038382073 add (0.28460787664265297 mul x_1)))))),0.001071783,0.996836371,0,0,0,0,22,0.997147724,0,0,0,0,22,42.08991218,3
q*h/(4*pi*m),feynman_II_34_29a,0.01,(-0.0017928129735415906 add (inv((-0.06044028754515901 add (-8.922985589862591 mul x_2))) mul (inv((-2.9452581898403656 add (39.504699934752416 mul (inv((-7.088043204005794e-05 add (0.005999313393010847 mul x_1))) mul (x_1 mul inv((1.3525367275696152 add (-25.58670922194332 mul x_1)))))))) mul ((195.22901902005805 mul x_0) add (0.7779369654578363 mul x_2))))),0.000118892,0.999691667,0,0,0,1,37,0.999949889,1,0,0,1,37,43.51146245,3
g_*mom*B*Jz/(h/(2*pi)),feynman_II_34_29b,0.01,(0.3608668265174698 add ((((0.9217830007559452 add (0.31531739621818927 mul x_3)))**2 mul (inv((-0.10198462034179603 add (8.378082050066293 mul x_1))) mul ((-4.900513159971881 add (-1.7331381170201243 mul x_0)))**2)) mul (((1.127838023908334 add (0.3961308281486862 mul x_2)))**2 mul ((-0.0010165810465067881 mul x_2) sub (-0.6594547439887212 mul x_4))))),0.003083656,0.994249802,0,0,0,0,37,0.994290578,0,0,0,0,37,571.750464,5
q*v/(2*pi*r),feynman_II_34_2a,0.01,(0.0004125638483458449 add (((0.7848194584414327 mul x_0) add (0.004940315738424149 mul cos((-10.972829318955332 add (2.571386744777878 mul x_1))))) mul ((-8.644258409138001e-06 mul x_1) sub (0.22566263270817813 mul (exp(((0.1790956863583 mul x_1) add (-2.714179542924765 mul exp((-0.2912144198428883 add (-0.7863999487228505 mul x_1)))))) mul inv((-6.8606808609986e-05 add (-0.5228866888364889 mul x_2)))))))),0.000101328,0.999737646,0,0,0,1,41,0.999995851,1,0,1,1,41,330.9537988,3
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),feynman_II_35_18,0.01,(-0.0009240854083224228 add (x_0 mul (inv((99.10823449474769 add (-7.135608147847018 mul x_3))) mul ((-37.723630672432066 mul inv((-0.4627495807294551 add (-29.445059070632585 mul (x_4 mul inv((-9.625477287959365 add (70.72202733602496 mul (x_1 mul x_2))))))))) add ((-0.3784503808838081 mul x_2) add (54.08522661903205 mul sin((3.183903040078587 add (0.24466012211709778 mul x_3))))))))),0.00424312,0.980489424,0,0,0,0,41,0.980815838,0,0,0,0,41,8724.33693,5
n_rho*mom*tanh(mom*B/(kb*T)),feynman_II_35_21,0.01,(-1.4049864321053602 add (((1.0756783837185142 add (0.47475656063587174 mul x_1)))**2 mul (((0.05866007126537611 mul abs((3.799354387071671 add (7.599025160897534 mul x_0)))) add (-0.0028047568399449385 mul x_4)) mul cos(((-0.18688160422015918 mul x_2) add (-1.233270261449506 mul arctan((-0.22275085013720017 add (-0.13334554561720594 mul (x_4 mul x_3)))))))))),0.00608157,0.982789337,0,0,0,0,37,0.982746347,0,0,0,0,37,11521.74777,5
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,feynman_II_36_38,0.01,(0.033411144820060634 add (exp(((-0.5809725143973289 mul x_2) add (0.49378072716459154 mul x_0))) mul (inv((-0.14452640244131967 add (7.600512416337664 mul x_3))) mul ((8.92553869446436 mul x_1) add (9.805978381221573 mul (inv((-0.09836813630591247 add (0.7604168610327329 mul x_5))) mul exp(((0.5019123014945306 mul x_4) sub ((1.3304819431794603 mul x_6) add (-0.5211354873639243 mul x_7)))))))))),0.004050731,0.987203332,0,0,0,0,43,0.986875178,0,0,0,0,43,5104.055542,8
mom*(1+chi)*B,feynman_II_37_1,0.01,(-0.2630008316983542 add (((3.0118409405530526 add (0.6114776082647605 mul x_2)))**2 mul (abs((0.04792168145417494 add (2.4796512271422486 mul x_0))) mul abs((-0.0013736310571889035 add (-0.06680330118594092 mul x_1)))))),0.000428981,0.99857366,0,0,0,1,22,0.998890372,0,0,0,1,22,40.21184349,3
Y/(2*(1+sigma)),feynman_II_38_14,0.01,(8.376674193586749e-05 add (inv((2.0929168320452534 add (2.0911012825542548 mul x_1))) mul abs((-0.0013165938002414695 add (-1.0454815226977843 mul x_0))))),9.95E-05,0.999528542,1,0,0,1,15,0.99999958,1,0,1,1,15,35.73397064,2
Y*A*x/d,feynman_II_38_3,0.01,(-0.3159642878981299 add (inv((-1.415908678210254e-05 add (-0.00029131829832877243 mul x_2))) mul (((-2.8508124120149567 add (-0.950599816577197 mul x_3)))**2 mul ((-7.54537097220518e-06 mul x_0) add (-1.5710009779348179e-06 mul (((-0.20597835668726136 mul x_1) add (-18.94238270927281 mul cos((-4.941058761340118 add (-0.044447642358428636 mul (x_0 mul x_1)))))))**2))))),0.001544948,0.9966526,0,0,0,0,37,0.996744226,0,0,0,0,37,197.1629014,4
Pwr/(4*pi*r**2),feynman_II_3_24,0.01,(-6.497754352220847e-05 add (inv((-0.056452714732789 add (14.334544648677573 mul x_1))) mul (abs((0.02023141610005446 add (4.723706479460863 mul x_0))) mul abs((52.99020128619283 add (30.47288967968166 mul (x_1 mul inv((-0.002614178984814621 add (-0.5750700250716623 mul x_1)))))))))),0.000100628,0.999827268,1,0,0,0,29,0.999999434,1,0,1,1,29,38.63517046,2
q/(4*pi*epsilon*r),feynman_II_4_23,0.01,(-0.00018170336296876102 add (inv((0.14674393555732682 add (16.398232735318263 mul x_1))) mul exp(((0.1666435121067769 mul exp((2.8528662617839293 add (-0.41696902695590055 mul x_2)))) sub (125.96060479221029 mul ((0.13112286245415866 add (-0.02126949294638159 mul x_0)))**2))))),0.000483184,0.998878006,1,0,0,1,27,0.999100495,1,0,0,1,27,338.2175355,3
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,feynman_II_6_11,0.01,((sin((1.605177955429185 add (-1.015290240700928 mul x_2))) mul exp((-3.0414149760426397 add (0.5132797135323649 mul x_1)))) mul exp(((-0.5364993046820128 mul x_3) add (-1.0975536807750754 mul arctan((-0.9700454732005542 add (0.5207771130702336 mul (x_0 mul x_3)))))))),0.00569645,0.992873472,0,0,0,0,29,0.992977549,0,0,0,0,29,563.9338543,4
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),feynman_II_6_15a,0.01,(0.016950505341045537 add (inv((51.79694576120096 add (-7.296642575818286 mul x_4))) mul (exp(((0.2329219281227293 mul x_3) add (0.49303472141150595 mul x_1))) mul (exp(((-4.232553462661834 mul x_2) add (0.48821363604453183 mul x_5))) mul inv((-5.965306820442692e-05 add (0.001902413721019333 mul x_0))))))),0.006034418,0.99244456,0,0,0,0,33,0.992267109,0,0,0,0,33,109.0094426,6
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,feynman_II_6_15b,0.01,(-0.0005656758533715311 add (exp((-4.143472704367589 add (-2.121405190240542 mul x_3))) mul (exp(((-0.01720009035986668 mul x_2) add (0.5044496184189231 mul x_1))) mul (cos((1.5769716068338397 add (-1.9991668598677916 mul x_2))) mul inv((-0.0007398363848986861 add (0.02470722710680214 mul x_0))))))),0.006621564,0.992655131,0,0,0,0,31,0.992755325,0,0,0,0,31,101.5333581,4
epsilon*Ef**2/2,feynman_II_8_31,0.01,(-0.03097370499333182 add (abs((-0.001769973835952782 add (0.8147859396643754 mul x_0))) mul ((0.002371335511437367 add (0.7836180002074755 mul x_1)))**2)),0.000101402,0.999749684,0,0,0,0,15,0.999997753,1,0,0,1,15,51.08718228,2
3/5*q**2/(4*pi*epsilon*d),feynman_II_8_7,0.01,(-0.0026177466989479093 add (inv((0.9693900119535084 add (26.66213302153819 mul x_2))) mul ((1.0091630600327952 add (-0.7402043567772517 mul (inv((4.997268050420375 add (4.359390627563134 mul x_1))) mul ((14.885094384433096 mul x_0) sub (-10.001273606106754 mul x_1))))))**2)),0.001254214,0.997733776,0,0,0,0,28,0.997979776,0,0,0,0,28,50.24868941,3
m_0/sqrt(1-v**2/c**2),feynman_I_10_7,0.01,(-0.0035227014122900077 add ((1.0120614020764607 mul x_0) add (8.487518262785352 mul exp(((-0.631575356501735 mul x_2) add (-15.020163374794313 mul abs(((-5.296321604535611 mul cos((-10.934226422230394 add (-0.022132715819209562 mul x_1)))) add (-0.021885624875846145 mul x_0))))))))),0.000132133,0.998986204,1,0,0,1,28,0.999749275,1,0,0,1,28,85.24524307,3
x1*y1+x2*y2+x3*y3,feynman_I_11_19,0.01,(3393.2892818567643 add (((0.00020755582273650566 mul ((842.113986208583 add (-0.1223218509391032 mul (x_4 mul x_1))))**2) sub ((-4.190271538675086 mul (x_3 mul inv((-5.48759451819071 add (0.23145521915365255 mul x_0))))) sub (-36.597083016403836 mul (x_2 mul cos((1.5708204346323709 add (-0.0011768801850168492 mul x_5))))))) mul ((-0.00010266842815155627 mul x_1) sub ((0.0001871717904523004 mul x_5) sub (312.2691130063883 mul cos((4.6385214594961175 add (-0.00039151671297070673 mul x_3)))))))),0.00016661,0.998267109,1,0,0,1,51,0.999301317,1,0,0,1,51,616.0965643,6
mu*Nn,feynman_I_12_1,0.01,(0.003222061114242801 add (((0.04341720965370285 mul x_0) add (-0.05658279034629385 mul x_0)) mul ((-5.9983358342816135 mul x_1) sub (69.9983358342816 mul x_1)))),0.000100067,0.999586505,1,0,0,1,17,0.999997183,1,0,1,1,17,49.34222269,2
q*(Ef+B*v*sin(theta)),feynman_I_12_11,0.01,(0.21843046653375428 add (((0.6097990601600252 mul (sin((6.281430562490358 add (1.001167481160626 mul x_4))) mul (((1.2917308068801074 mul x_3) add (0.2228282458027281 mul abs((-3.836076895486957 add (5.868844748180326 mul x_2))))))**2)) add (3.554132023546777 mul x_1)) mul abs((0.002137752812375817 add (-0.27847267517857616 mul x_0))))),0.004550614,0.994664162,0,0,0,0,35,0.994807242,0,0,0,0,35,105.2339852,5
q1*q2*r/(4*pi*epsilon*r**3),feynman_I_12_2,0.01,(0.0011213911285581871 add (inv((9.750852864565843 add (4.089275794194899 mul (((0.07751927842605409 add (-2.116308443429169 mul x_3)))**2 mul ((-1.8944665661768665 add (-0.9751616931426068 mul x_2)))**2)))) mul abs((-0.0695226955297672 add (-10.749326616356544 mul (x_1 mul x_0)))))),0.002229941,0.996844235,0,0,0,0,29,0.997133801,0,0,0,0,29,485.0520899,4
q1*r/(4*pi*epsilon*r**3),feynman_I_12_4,0.01,(-0.00015760275104099837 add (inv((0.02729609897563503 add (3.5460322930364323 mul (cos((-7.861677958384982 add (0.134128884283657 mul x_1))) mul ((-0.017478050859426893 add (0.9856838429777774 mul x_2)))**2)))) mul exp((-3.330648738568181 add (0.3350738596565046 mul x_0))))),0.004057841,0.993865037,0,0,0,0,27,0.99457332,0,0,0,0,27,121.1757305,3
q2*Ef,feynman_I_12_5,0.01,(-0.0018822421895449974 add (((-0.017615547102163495 mul x_1) sub (0.017615547100240523 mul x_1)) mul ((6.393970354658687 mul (((1.0187435042807356 add (1.0937962448808225 mul x_0)))**2 mul sin((-1.571433125017068 add (0.00045315163357771823 mul x_0))))) add (5.979774520025306 mul ((1.0397482711219046 add (-1.1300652866482088 mul x_0)))**2)))),0.000100031,0.999584525,1,0,0,1,34,0.999998804,1,0,1,1,34,49.43454075,2
G*m1*m2*(1/r2-1/r1),feynman_I_13_12,0.01,(-0.0497869730238135 add ((inv((-0.07055252162069264 add (3.35450185789882 mul x_3))) mul ((-0.261862273494681 mul x_3) add (0.2635793445224908 mul x_2))) mul (((0.26206458197775495 add (0.09166113175023073 mul x_0)))**2 mul (((3.6830797065370984 add (1.252198230476604 mul x_1)))**2 mul exp(((0.32651016883582884 mul x_4) add (1.239062197930989 mul exp((0.8837456838314249 add (-0.43509782387717144 mul x_2)))))))))),0.006013637,0.993986251,0,0,0,0,44,0.994146314,0,0,0,0,44,4303.018951,5
1/2*m*(v**2+u**2+w**2),feynman_I_13_4,0.01,(-0.04781647091430551 add (((3.3719472149418075 mul ((-10.005253327815494 add (-0.0034329430284158057 mul x_0)))**2) sub (-337.57507714923224 mul cos((3.1736272889329267 add (-0.010628643528336682 mul x_1))))) mul ((12.863084562966414 mul x_2) add ((48.43793420382034 mul arctan((-1.9452290486987125 add (0.404337747230948 mul x_3)))) sub (-7157.967140341423 mul arctan((0.002462676491549308 add (0.0017851030945325076 mul x_1)))))))),0.001708303,0.993007585,0,0,0,0,41,0.993496959,0,0,0,0,41,1049.662575,4
m*g*z,feynman_I_14_3,0.01,(-0.04071900032243398 add (abs((-0.0004791980846111078 add (-0.9956172694718443 mul x_1))) mul (abs((0.0015993860022869187 add (0.16950714554593868 mul x_0))) mul abs((-0.007405043383923798 add (-5.909855241032411 mul x_2)))))),9.98E-05,0.999706356,0,0,0,1,22,0.999997484,1,0,1,1,22,27.13176465,3
1/2*k_spring*x**2,feynman_I_14_4,0.01,(0.019396931438239468 add (((0.004073650769212594 add (-0.8505195559617958 mul x_1)))**2 mul abs((0.0011279330234492055 add (-0.6924444124568749 mul x_0))))),0.000101112,0.999750708,0,0,0,0,15,0.999999566,1,0,1,1,15,42.60508323,2
???,feynman_I_15_10,0.01,(-0.17706832297624187 add (((0.04093206777912481 mul x_1) sub (-0.9873311581684828 mul (((6.92273347278463 mul x_0) add (-0.03306688971156654 mul x_2)) mul inv((15.837014928713117 add (-0.017143819410592044 mul x_0)))))) mul (x_1 mul ((1.6279908993324057 add (-0.011418901172491322 mul x_2)))**2))),0.000779639,0.995341829,0,0,0,1,31,0.996098229,1,0,0,1,31,79.35305071,3
(t-u*x/c**2)/sqrt(1-u**2/c**2),feynman_I_15_3t,0.01,(-0.005205217291219471 add ((0.9953914784320085 mul x_3) sub (-0.26166720178453373 mul (((-0.5067051825842339 mul x_0) add (0.47720699672701916 mul x_3)) mul exp(((-0.4318492664820138 mul x_1) add (0.964304748613809 mul x_2))))))),0.000224598,0.998421974,1,0,0,1,24,0.999139089,1,0,0,1,24,61.41908073,4
(x-u*t)/sqrt(1-u**2/c**2),feynman_I_15_3x,0.01,(2.1798786504771597 add ((-1.536914303475537 mul x_3) sub ((1.5396086186844418 mul x_1) add ((-1.0176149245042991 mul x_0) add (12.900547854465106 mul (inv((-6.984961904115037 add (4.305218181474095 mul x_2))) mul cos((-11.157926699195377 add (0.35201657092032373 mul x_1))))))))),0.00047431,0.99422575,0,0,0,1,29,0.995391382,1,0,0,1,29,112.3491063,4
